beneficio_real [€],beneficio_previsto [€],desviacion [€],desviacion [%],ingreso_spot_real [€],ingreso_disp_real [€],ingreso_act_real [€],coste_deg_real [€],penalizacion_soc [€],soc_final [MWh],soc_final_desv [MWh],precio_medio_dia [€/MWh],energia_no_cargada [MWh],energia_no_operada [MWh],energia_recortada [MWh],intervalos_soc_critico,pi_disp_real [€/MWh],pi_act_up_real [€/MWh],pi_act_down_real [€/MWh],factor_act_up,factor_act_down,n_pujas_perdidas,n_fallos_tecnicos,extremo,sim_id
205.4966,297.5671,-92.0705,-30.94,-11.8964,185.9278,84.9106,19.8886,33.5568,0.59,-0.41,81.8458,0.0,0.0,0.5334,10,9.9887,103.0117,42.0773,1.2285,1.0445,3,1,False,48
301.6544,297.5671,4.0873,1.37,22.2965,189.784,142.253,18.0507,34.6286,0.59,-0.41,84.4599,0.5,0.0,0.27,7,10.1958,123.5052,45.2229,1.0839,0.9672,4,2,False,49
240.1439,297.5671,-57.4232,-19.3,5.3801,182.1205,104.0172,18.0563,33.3176,0.59,-0.41,81.2624,0.25,0.25,0.0666,3,9.7841,110.2612,46.656,1.0068,0.9828,4,1,False,50
231.5774,297.5671,-65.9896,-22.18,-6.4341,175.3481,91.8749,16.9671,12.2444,1.1498,0.1498,81.7481,0.2092,0.0,0.0,0,9.4203,112.5164,62.9315,0.8042,1.2246,5,1,False,51
277.8508,297.5671,-19.7163,-6.63,7.7232,187.8908,135.3454,19.078,34.0307,0.59,-0.41,83.0017,0.0,0.2092,0.4477,9,10.0941,117.3325,53.3411,1.1818,0.9863,5,3,False,52
264.396,297.5671,-33.171,-11.15,24.3701,188.0487,83.9341,18.4702,13.4866,0.8371,-0.1629,82.8028,0.25,0.0,0.0,0,10.1026,108.1393,50.3674,1.0022,1.2647,2,2,False,53
339.8595,297.5671,42.2925,14.21,-3.4757,197.6855,196.5915,17.3957,33.5461,0.59,-0.41,81.8198,0.4592,0.2195,1.4095,22,10.6203,129.6399,53.5013,1.3413,1.1225,8,4,False,54
290.9837,297.5671,-6.5833,-2.21,23.3493,176.9868,139.5902,17.0705,31.8721,0.6168,-0.3832,83.1732,0.25,0.5,0.0,0,9.5083,123.1512,52.885,0.9497,0.8928,7,3,False,55
373.6153,297.5671,76.0483,25.56,0.242,183.7545,217.9783,19.2968,9.0626,0.89,-0.11,82.3588,0.0,0.0,0.0,0,9.8719,136.3545,45.6227,1.0213,0.9011,2,0,False,56
386.2706,297.5671,88.7035,29.81,7.9739,195.6848,216.7855,18.4909,15.6828,1.1882,0.1882,83.3156,0.0,0.0,0.0,0,10.5128,142.6934,59.0636,0.9602,1.1823,0,3,False,57
271.8359,297.5671,-25.7311,-8.65,26.7175,197.9803,89.277,16.9344,25.2045,0.6937,-0.3063,82.2983,0.5,0.25,0.0,0,10.6362,110.788,50.8894,0.9602,0.8995,9,4,False,58
291.4272,297.5671,-6.1398,-2.06,22.3759,200.8696,108.6427,17.0472,23.4139,0.7203,-0.2797,83.7177,0.75,0.0,0.0937,2,10.7914,117.1705,57.0083,1.0004,1.3437,8,4,False,59
267.3882,297.5671,-30.1789,-10.14,26.8054,174.2802,116.9825,16.3655,34.3144,0.59,-0.41,83.6937,0.25,0.7092,0.6442,12,9.3629,117.9664,47.0064,1.0534,0.9939,3,3,False,60
247.8886,297.5671,-49.6785,-16.69,14.6678,199.2284,60.4309,16.2657,10.1727,1.1236,0.1236,82.2702,0.5,0.2195,0.0,0,10.7032,103.5339,61.5173,0.8474,0.9492,3,2,False,61
279.5196,297.5671,-18.0475,-6.07,2.5773,193.1736,129.7154,17.4938,28.4531,1.3393,0.3393,83.8532,0.0,0.0,0.0,0,10.3779,125.422,57.7641,0.8181,1.0644,7,1,False,62
257.0903,297.5671,-40.4768,-13.6,20.4515,174.4977,131.512,19.3358,50.0351,0.408,-0.592,84.5256,0.25,0.0,0.0525,2,9.3746,118.2303,55.2261,1.1551,1.1127,2,4,False,63
226.5033,297.5671,-71.0638,-23.88,9.924,203.7738,62.6991,16.5805,33.3131,0.59,-0.41,81.2515,0.6683,0.25,0.6894,14,10.9474,101.0342,52.324,1.0752,1.3316,7,1,False,64
356.6579,297.5671,59.0909,19.86,10.9804,179.8048,196.2131,18.4367,11.9037,1.1456,0.1456,81.7421,0.0,0.0,0.0,0,9.6597,135.3876,58.0981,0.9468,0.9054,4,2,False,65
253.7611,297.5671,-43.806,-14.72,9.5202,193.8131,77.4026,17.2795,9.6953,1.1166,0.1166,83.1591,0.443,0.0,0.0,0,10.4123,107.964,50.5291,0.8895,1.0136,7,0,False,66
293.9783,297.5671,-3.5888,-1.21,-5.0693,203.723,147.6664,19.0218,33.32,0.59,-0.41,81.2684,0.0,0.2092,0.1508,3,10.9447,117.374,53.3673,1.1074,0.8154,5,3,False,67
246.9251,297.5671,-50.6419,-17.02,5.3616,176.2234,118.3623,18.474,34.5481,0.59,-0.41,84.2636,0.3351,0.0,0.0614,3,9.4673,115.7343,43.2443,1.0717,0.7693,7,3,False,68
296.379,297.5671,-1.188,-0.4,12.3965,177.915,130.2517,17.0423,7.1419,0.9158,-0.0842,84.8437,0.3351,0.25,0.0,0,9.5582,123.8241,49.4799,0.9104,1.2056,4,2,False,69
