beneficio_real [€],beneficio_previsto [€],desviacion [€],desviacion [%],ingreso_spot_real [€],ingreso_disp_real [€],ingreso_act_real [€],coste_deg_real [€],penalizacion_soc [€],soc_final [MWh],soc_final_desv [MWh],precio_medio_dia [€/MWh],energia_no_cargada [MWh],energia_no_operada [MWh],energia_recortada [MWh],intervalos_soc_critico,pi_disp_real [€/MWh],pi_act_up_real [€/MWh],pi_act_down_real [€/MWh],factor_act_up,factor_act_down,n_pujas_perdidas,n_fallos_tecnicos,extremo,sim_id
388.4899,297.5671,90.9229,30.56,-3.4389,168.3902,263.3546,16.2534,23.5625,1.2636,0.2636,89.3828,0.3656,0.2195,0.0,0,9.0465,170.2929,45.4629,0.8684,0.9864,8,6,True,51
468.5423,297.5671,170.9753,57.46,30.931,199.2302,289.4697,15.2432,35.8454,0.59,-0.41,87.4278,0.9695,0.4364,4.1827,44,10.7033,168.4846,74.1875,1.9273,2.8749,13,6,True,52
478.922,297.5671,181.3549,60.95,19.8149,199.7313,328.4639,14.9135,54.1746,0.365,-0.635,85.3144,0.75,0.7092,2.337,30,10.7302,178.988,37.0421,1.4592,0.8508,16,6,True,53
451.2646,297.5671,153.6976,51.65,51.4081,199.2421,273.8018,18.3716,54.8157,0.365,-0.635,86.3239,0.25,0.2273,1.0745,16,10.704,153.3343,80.0056,1.4005,0.5345,12,7,True,54
170.0005,297.5671,-127.5665,-42.87,25.1842,204.7291,-6.4117,16.5059,36.9953,0.59,-0.41,90.2324,0.75,0.2092,0.2913,5,10.9987,93.239,60.9578,1.0506,1.4212,12,6,True,55
71.1282,297.5671,-226.4389,-76.1,7.0086,178.1891,-63.045,13.9944,37.0302,0.59,-0.41,90.3175,1.1275,0.5,0.4692,10,9.5729,74.8806,35.0045,0.9137,1.4259,21,4,True,56
277.2033,297.5671,-20.3638,-6.84,45.1436,157.1583,129.5168,11.687,42.9284,1.4997,0.4997,85.9051,0.9183,0.594,0.0,0,8.4431,154.3348,65.5339,0.5299,0.7869,14,8,True,57
330.4425,297.5671,32.8755,11.05,-35.2486,144.443,274.5716,17.091,36.2325,0.59,-0.41,88.372,0.7092,0.0,1.0587,17,7.76,156.7006,51.7162,1.2217,0.4478,13,2,True,58
91.8593,297.5671,-205.7077,-69.13,12.6806,153.3363,-19.2227,17.9262,37.0086,0.59,-0.41,90.2648,0.5004,0.0,0.1522,4,8.2377,91.595,52.7959,1.1118,0.8951,20,6,True,59
292.9756,297.5671,-4.5915,-1.54,53.5472,197.882,114.5109,14.1942,58.7703,0.365,-0.635,92.5516,0.9592,0.75,3.3603,41,10.6309,123.2237,69.9074,1.6227,1.416,11,4,True,60
161.2786,297.5671,-136.2885,-45.8,28.3563,171.7254,14.4485,16.3668,36.8848,0.5596,-0.4404,83.7569,0.7092,0.2092,0.0,0,9.2257,94.4271,44.4366,0.949,1.6201,14,6,True,61
115.7705,297.5671,-181.7965,-61.09,11.288,149.2943,17.8599,16.1784,46.4934,1.5183,0.5183,89.7081,0.2195,0.193,0.0,0,8.0206,100.1472,31.4494,0.8465,1.1242,11,9,True,62
