beneficio_real [€],beneficio_previsto [€],desviacion [€],desviacion [%],ingreso_spot_real [€],ingreso_disp_real [€],ingreso_act_real [€],coste_deg_real [€],penalizacion_soc [€],soc_final [MWh],soc_final_desv [MWh],precio_medio_dia [€/MWh],energia_no_cargada [MWh],energia_no_operada [MWh],energia_recortada [MWh],intervalos_soc_critico,pi_disp_real [€/MWh],pi_act_up_real [€/MWh],pi_act_down_real [€/MWh],factor_act_up,factor_act_down,n_pujas_perdidas,n_fallos_tecnicos,extremo,sim_id
92.2536,37.7885,54.4651,144.13,-46.5045,129.7013,34.6142,16.206,9.3515,0.9268,-0.0732,127.8207,0.0,0.0,0.0,0,9.8719,136.3545,45.6227,1.0213,0.9011,2,0,False,56
115.8906,37.7885,78.1021,206.68,-44.4926,138.1222,46.5816,15.6256,8.6951,1.0672,0.0672,129.323,0.0,0.0,0.0,0,10.5128,142.6934,59.0636,0.9602,1.1823,0,3,False,57
15.0153,37.7885,-22.7732,-60.26,-53.1892,139.7425,-42.5894,13.5749,15.3737,0.8802,-0.1198,128.3225,0.5,0.25,0.2068,5,10.6362,110.788,50.8894,0.9602,0.8995,9,4,False,58
10.4674,37.7885,-27.3211,-72.3,-19.3417,141.7819,-35.4979,14.2228,62.2521,0.5202,-0.4798,129.7583,0.5,0.25,0.0,0,10.7914,117.1705,57.0083,1.0004,1.3437,8,4,False,59
-9.509,37.7885,-47.2975,-125.16,-31.4787,123.014,-24.5633,14.2225,62.2586,0.5204,-0.4796,129.8247,0.25,0.5,0.2791,6,9.3629,117.9664,47.0064,1.0534,0.9939,3,3,False,60
18.4845,37.7885,-19.304,-51.08,-42.2139,140.6234,-54.3506,13.5291,12.0453,0.9056,-0.0944,127.6426,0.5,0.25,0.0,0,10.7032,103.5339,61.5173,0.8474,0.9492,3,2,False,61
53.6073,37.7885,15.8188,41.86,-52.3533,136.3498,-4.9308,14.948,10.5104,1.0808,0.0808,130.0406,0.0,0.0,0.0,0,10.3779,125.422,57.7641,0.8181,1.0644,7,1,False,62
4.7918,37.7885,-32.9967,-87.32,-34.8368,123.1675,-31.9235,15.6629,35.9525,0.7257,-0.2743,131.0875,0.0,0.5,0.1179,3,9.3746,118.2303,55.2261,1.1551,1.1127,2,4,False,63
-72.8746,37.7885,-110.6631,-292.85,-66.5444,143.8318,-58.9071,15.4361,75.8188,0.3991,-0.6009,126.1732,0.4751,0.0,0.0216,1,10.9474,101.0342,52.324,1.0752,1.3316,7,1,False,64
97.5383,37.7885,59.7498,158.12,-41.8966,126.9135,30.2086,15.133,2.5543,1.0201,0.0201,126.8744,0.25,0.0,0.0,0,9.6597,135.3876,58.0981,0.9468,0.9054,4,2,False,65
16.0639,37.7885,-21.7246,-57.49,-55.2364,136.8011,-44.2702,14.89,6.3406,1.0491,0.0491,129.122,0.25,0.0,0.0,0,10.4123,107.964,50.5291,0.8895,1.0136,7,0,False,66
13.9631,37.7885,-23.8254,-63.05,-44.0323,143.796,-16.1842,15.9332,53.6832,0.5756,-0.4244,126.4883,0.0,0.25,0.0227,1,10.9447,117.374,53.3673,1.1074,0.8154,5,3,False,67
-21.2325,37.7885,-59.021,-156.19,-36.6265,124.3856,-43.5368,14.9686,50.4862,0.6146,-0.3854,130.9921,0.4971,0.0,0.1514,4,9.4673,115.7343,43.2443,1.0717,0.7693,7,3,False,68
32.2498,37.7885,-5.5387,-14.66,-54.9308,125.5796,-18.2199,14.9119,5.2672,1.0398,0.0398,132.2381,0.25,0.0,0.0,0,9.5582,123.8241,49.4799,0.9104,1.2056,4,2,False,69
-13.7669,37.7885,-51.5554,-136.43,-37.5314,124.1104,-72.8155,14.8535,12.6769,1.0963,0.0963,131.603,0.25,0.0,0.0,0,9.4464,102.7164,54.6976,0.9186,0.9699,7,3,False,70
29.8355,37.7885,-7.953,-21.05,-70.8033,126.5806,39.9833,15.8769,50.0482,0.6069,-0.3931,127.3115,0.0,0.25,0.4246,8,9.6344,135.8147,44.619,1.2329,1.2828,5,3,False,71
48.0902,37.7885,10.3017,27.26,-41.6504,128.655,-19.4001,14.9598,4.5545,1.0365,0.0365,124.6726,0.25,0.0,0.0,0,9.7923,115.4041,59.1217,0.9178,1.1902,7,1,False,72
5.0703,37.7885,-32.7182,-86.58,-48.6787,137.3908,6.028,14.502,75.1677,0.4153,-0.5847,128.5495,0.7251,0.0,0.0864,2,10.4572,127.9619,48.2826,1.0082,1.1166,4,0,False,73
-134.9957,37.7885,-172.7842,-457.24,-47.4682,123.8901,-92.4673,14.9195,104.0307,0.1833,-0.8167,127.3807,0.7251,0.0,0.0214,1,9.4296,95.9132,60.6522,1.0751,0.9735,6,1,False,74
-7.471,37.7885,-45.2595,-119.77,-60.0353,124.9802,-43.2756,14.4771,14.6633,1.1163,0.1163,126.1021,0.25,0.0,0.0,0,9.5126,106.4965,54.1025,0.8354,0.8861,6,2,False,75
81.5861,37.7885,43.7976,115.9,-38.088,135.7351,19.578,15.4578,20.1811,0.8397,-0.1603,125.8887,0.25,0.0,0.092,2,10.3311,131.7361,52.3292,1.0109,0.8629,2,2,False,76
-88.3935,37.7885,-126.182,-333.92,-62.0993,123.4364,-45.4708,13.8203,90.4395,0.2912,-0.7088,127.5954,0.9751,0.0,0.0205,1,9.3951,108.8067,53.9778,0.9761,1.0693,8,2,False,77
6.3764,37.7885,-31.4121,-83.13,-17.286,131.7821,-64.1756,15.5691,28.3751,0.7779,-0.2221,127.7432,0.0,0.25,0.0,0,10.0303,105.5284,55.9065,1.0591,0.8195,4,4,False,78
10.0728,37.7885,-27.7157,-73.34,-42.4215,132.6723,-14.121,15.8679,50.1891,0.6119,-0.3881,129.3087,0.25,0.0,0.4821,11,10.098,124.3334,51.4703,1.2264,0.8215,5,2,False,79
-97.8092,37.7885,-135.5978,-358.83,-82.4872,121.0627,-42.8503,15.4797,78.0548,0.3887,-0.6113,127.6776,0.2182,0.25,0.4149,9,9.2144,110.2558,49.3952,1.2612,1.1448,5,5,False,80
40.9184,37.7885,3.1299,8.28,-40.4976,127.5476,-3.5391,15.5455,27.047,0.791,-0.209,129.4164,0.25,0.0,0.0,0,9.708,126.6058,52.8557,1.0347,1.058,11,2,False,81
-27.5901,37.7885,-65.3786,-173.01,-19.0523,130.0299,-37.164,13.6678,87.7358,0.3317,-0.6683,131.2855,0.7471,0.25,1.1287,18,9.8969,119.5977,58.4275,1.2979,1.1045,6,2,False,82
-7.3673,37.7885,-45.1558,-119.5,-56.4974,136.1969,-25.3972,15.8017,45.8679,0.6487,-0.3513,130.5524,0.25,0.0,0.0,0,10.3663,119.9793,42.5083,1.0367,0.8774,6,0,False,83
-12.2724,37.7885,-50.0609,-132.48,-38.677,126.3039,-40.9891,15.9017,43.0084,0.657,-0.343,125.3714,0.2182,0.0,0.0,0,9.6133,109.639,56.7461,1.0839,1.1097,4,3,False,84
-30.0085,37.7885,-67.797,-179.41,-27.401,147.291,-56.0395,16.246,77.6131,0.4018,-0.5982,129.7508,0.0,0.25,0.092,5,11.2107,112.2987,51.4959,1.2071,1.1137,8,5,False,85
-2.2875,37.7885,-40.076,-106.05,-44.7026,127.1753,-49.8481,15.2211,19.6911,0.8467,-0.1533,128.4471,0.2182,0.0,0.0,0,9.6796,107.6905,61.0996,0.9327,1.0546,7,0,False,86
74.2377,37.7885,36.4492,96.46,-31.4071,141.8993,-17.5782,14.9621,3.7142,1.0288,0.0288,128.8629,0.25,0.0,0.0,0,10.8003,121.7212,50.7471,0.9351,1.201,6,2,False,87
43.5916,37.7885,5.8031,15.36,-58.8996,151.2727,-19.1343,16.2624,13.3847,0.8955,-0.1045,128.0446,0.0,0.0,0.0,0,11.5138,118.484,54.7493,1.0304,1.0351,3,1,False,88
47.5273,37.7885,9.7388,25.77,-34.4948,132.2813,-19.7799,14.2638,16.2155,1.1238,0.1238,130.9634,0.0,0.0,0.0,0,10.0683,119.1614,57.623,0.7214,1.1022,4,2,False,89
-29.7761,37.7885,-67.5646,-178.8,-61.0426,127.9248,-43.1962,16.5858,36.8763,0.7158,-0.2842,129.7664,0.0,0.0,0.0439,1,9.7367,114.214,49.9775,1.118,1.0844,6,1,False,90
7.3841,37.7885,-30.4044,-80.46,-34.8832,127.8688,-68.3251,15.1119,2.1644,1.0169,0.0169,127.9839,0.25,-0.0,0.0,0,9.7324,101.5145,48.8714,0.9619,0.784,4,3,False,91
7.2817,37.7885,-30.5068,-80.73,-58.3495,138.7836,-50.4805,16.1635,6.5083,0.9504,-0.0496,131.2538,0.0,0.0,0.0,0,10.5632,111.7173,50.8384,1.0144,0.9544,3,1,False,92
26.0435,37.7885,-11.745,-31.08,-58.4613,127.3653,0.6721,15.5657,27.9669,0.7797,-0.2203,126.9729,0.25,0.0,0.1986,4,9.6941,123.4307,47.7987,1.0628,0.8318,4,0,False,93
-64.7086,37.7885,-102.4971,-271.24,-73.7995,118.1982,-89.8984,15.702,3.5071,1.0267,0.0267,131.2745,0.0,0.0,0.0,0,8.9964,97.9358,58.2062,0.9399,1.107,3,1,False,94
33.6565,37.7885,-4.132,-10.93,-17.4186,128.5003,-30.8769,16.4946,30.0538,0.7665,-0.2335,128.7137,0.0,0.0,0.0,0,9.7805,117.0309,49.5047,1.0867,0.849,3,1,False,95
138.2925,37.7885,100.504,265.96,-6.6353,144.1529,52.2623,15.2779,36.2096,1.2823,0.2823,128.264,0.0,0.25,0.0,0,10.9719,146.3386,49.6894,0.9898,1.081,4,4,False,96
30.0551,37.7885,-7.7334,-20.46,-19.5316,124.4011,-55.7831,15.0286,4.0027,1.0313,0.0313,127.8983,0.25,0.0,0.0,0,9.4685,107.1101,52.5993,0.9296,1.0981,1,3,False,97
-21.3685,37.7885,-59.157,-156.55,-71.2459,120.9687,-48.419,14.4625,8.2098,1.0654,0.0654,125.625,0.25,0.0,0.0,0,9.2072,101.5859,41.337,0.853,0.9842,6,3,False,98
46.9637,37.7885,9.1752,24.28,-16.1929,128.5957,-10.4672,14.0493,40.9225,0.6805,-0.3195,128.0911,0.5,0.4682,0.0592,2,9.7877,122.8946,49.6419,1.0243,1.0671,5,3,False,99
27.2537,37.7885,-10.5348,-27.88,-39.6723,130.8565,-21.6217,15.5472,26.7616,0.79,-0.21,127.4588,0.25,0.0,0.0,0,9.9598,119.3789,48.4241,1.0149,1.2244,3,1,False,100
13.3553,37.7885,-24.4332,-64.66,-49.1133,141.4711,-45.3614,15.4257,18.2154,0.8575,-0.1425,127.8718,0.25,0.0,0.0,0,10.7677,111.3316,51.2559,0.9949,0.8878,6,2,False,101
43.3374,37.7885,5.5489,14.68,-24.1641,128.3033,-3.6059,16.6484,40.5476,0.681,-0.319,127.1194,0.0,0.0,0.2434,7,9.7655,123.6979,51.2426,1.2422,1.199,6,3,False,102
34.0987,37.7885,-3.6898,-9.76,-47.2178,134.4951,-22.2195,13.1502,17.8089,1.1381,0.1381,128.98,0.25,0.25,0.0,0,10.2368,118.1644,52.1713,0.6893,1.19,6,1,False,103
32.4843,37.7885,-5.3042,-14.04,-51.2377,137.6283,-31.2226,14.5648,8.1189,1.0652,0.0652,124.4817,0.25,0.0,0.0,0,10.4752,110.8981,59.4998,0.8533,1.3599,5,1,False,104
-32.7799,37.7885,-70.5684,-186.75,-71.1397,128.7001,-25.6503,14.9545,49.7354,0.6165,-0.3835,129.6937,0.5,0.0,0.0887,2,9.7957,119.4232,56.4729,1.0093,1.2662,5,1,False,105
-23.518,37.7885,-61.3065,-162.24,-34.2612,126.9376,-80.1202,14.5651,21.5092,0.8329,-0.1671,128.7018,0.5,0.0,0.4321,8,9.6616,99.4278,59.7704,1.0778,0.9136,7,1,False,106
104.6395,37.7885,66.851,176.91,-37.7451,139.5325,25.8094,14.543,8.4143,1.0668,0.0668,125.9308,0.0,0.25,0.0,0,10.6202,134.6391,42.4092,0.8497,0.875,3,2,False,107
44.8142,37.7885,7.0257,18.59,-24.8204,125.5298,-40.3519,15.1745,0.3687,0.9971,-0.0029,126.872,0.0,0.5,0.0,0,9.5544,112.07,42.401,1.0359,1.0298,6,3,False,108
53.7519,37.7885,15.9634,42.24,-52.123,124.2587,16.583,15.4429,19.5239,0.848,-0.152,128.4163,0.25,0.0,0.0,0,9.4577,131.7474,57.4114,0.9978,0.8976,4,1,False,109
79.9576,37.7885,42.1691,111.59,-39.7652,134.0909,14.4533,12.7181,16.1034,1.1246,0.1246,129.235,0.7251,0.0,0.0,0,10.206,134.6743,50.5417,0.7196,1.0832,7,2,False,110
23.4177,37.7885,-14.3708,-38.03,-47.2814,126.3233,-7.9543,14.7346,32.9353,0.7387,-0.2613,126.0594,0.5,0.25,0.3654,6,9.6148,121.8189,55.5319,1.1439,1.057,5,2,False,111
-6.6424,37.7885,-44.4309,-117.58,-31.7697,124.4977,-35.7323,15.8474,47.7907,0.6233,-0.3767,126.8589,0.0,0.25,0.0,0,9.4758,115.8411,65.6024,1.0835,1.293,6,4,False,112
52.3972,37.7885,14.6087,38.66,-35.8297,133.0316,-2.1671,16.4387,26.1989,0.7975,-0.2025,129.3957,0.0,0.0,0.0,0,10.1254,125.4583,57.4143,1.0588,0.628,3,0,False,113
76.4723,37.7885,38.6838,102.37,-42.473,132.104,6.4084,15.4611,4.106,1.0317,0.0317,129.6227,0.0,0.0,0.0,0,10.0548,127.7189,59.5298,0.9287,0.8279,6,4,False,114
97.3996,37.7885,59.6111,157.75,-33.1687,127.1768,45.269,16.4284,25.4491,0.8033,-0.1967,129.349,0.0,0.0,0.0,0,9.6798,140.559,44.4092,1.0572,0.8445,7,2,False,115
3.7984,37.7885,-33.9901,-89.95,-51.0129,134.4266,-36.1537,15.5638,27.8978,0.7808,-0.2192,127.2796,0.25,0.0,0.0543,2,10.2316,114.7675,51.2938,1.0355,0.9152,7,1,False,116
47.3053,37.7885,9.5168,25.18,-11.3555,123.5104,-41.9461,14.5553,8.3482,1.0659,0.0659,126.6419,0.25,0.0,0.0,0,9.4007,109.5924,56.0204,0.8517,0.9054,5,3,False,117
56.9475,37.7885,19.159,50.7,-37.1213,136.4332,-26.4332,14.2873,1.6439,0.9872,-0.0128,128.5796,0.5,0.0,0.0,0,10.3843,117.2737,49.3133,0.9075,0.9806,8,2,False,118
