fecha,sim_id,tipo,beneficio_real [€],beneficio_previsto [€],desviacion [€],desviacion [%],ingreso_spot_real [€],ingreso_disp_real [€],ingreso_act_real [€],coste_deg_real [€],energia_no_cargada [MWh],energia_no_operada [MWh],intervalos_soc_critico,soc_final [MWh],soc_final_desv [MWh],pi_disp_real [€/MWh],pi_act_up_real [€/MWh],pi_act_down_real [€/MWh],factor_act_up,factor_act_down,n_pujas_perdidas,n_fallos_tecnicos,extremo
2026-02-04,169,normal,683.7859,650.4593,33.3266,5.12,77.8059,195.9757,428.8914,18.8871,0.0,0.0,0,0.9971,-0.0029,10.3252,121.3965,45.7956,0.9965,0.9,4,0,False
2026-02-04,170,normal,626.9901,650.4593,-23.4692,-3.61,75.3603,199.0334,369.0799,16.4835,0.7092,0.0,0,0.9285,-0.0715,10.4863,117.7722,52.9037,0.8777,0.9921,5,0,False
2026-02-04,171,normal,610.9547,650.4593,-39.5046,-6.07,75.7145,195.8142,356.5852,17.1591,0.25,0.0,0,1.2201,0.2201,10.3167,118.7398,45.8918,0.8416,1.0977,6,0,False
2026-02-04,172,normal,627.7393,650.4593,-22.72,-3.49,80.4898,202.5804,361.3018,16.6327,0.5,0.25,3,0.8794,-0.1206,10.6732,113.9664,55.2339,0.9003,1.0404,10,1,False
2026-02-04,173,normal,685.9948,650.4593,35.5355,5.46,78.7562,184.1275,440.5132,17.4021,0.25,0.25,0,0.8972,-0.1028,9.701,131.5678,49.9634,0.9703,1.084,4,4,False
2026-02-04,174,normal,748.2861,650.4593,97.8268,15.04,77.4338,186.1968,502.9159,18.2604,0.5,0.0,6,0.7095,-0.2905,9.81,133.675,53.2502,1.0531,0.9395,9,1,False
2026-02-04,175,normal,650.9512,650.4593,0.4919,0.08,77.927,190.9564,400.6195,18.5517,0.3759,0.25,12,0.7077,-0.2923,10.0607,105.3408,49.8411,1.1767,0.8773,5,5,False
2026-02-04,176,normal,559.8559,650.4593,-90.6034,-13.93,80.4282,185.9678,311.0472,17.5873,0.0,0.0,0,1.2455,0.2455,9.7979,107.3336,49.5828,0.8423,0.9196,6,0,False
2026-02-04,177,normal,616.98,650.4593,-33.4793,-5.15,78.8171,185.2011,371.2256,18.2637,0.5,0.0321,6,0.7192,-0.2808,9.7575,104.1041,44.2687,1.122,1.2644,5,6,False
2026-02-04,178,normal,513.5887,650.4593,-136.8706,-21.04,80.7533,192.6085,256.491,16.2641,0.25,0.0,0,1.3715,0.3715,10.1478,100.6075,61.0317,0.7523,0.9849,6,1,False
2026-02-04,179,normal,805.4343,650.4593,154.975,23.83,79.2083,181.7444,566.1698,21.6881,0.5,0.0,25,0.7098,-0.2902,9.5754,113.9686,46.997,1.4832,0.9474,4,2,False
2026-02-04,180,normal,666.4582,650.4593,15.9989,2.46,74.7491,169.3355,444.1879,21.8143,0.1019,0.0,18,0.59,-0.41,8.9216,96.9647,45.7454,1.3848,1.0578,3,1,False
2026-02-04,181,normal,776.7504,650.4593,126.2911,19.42,76.5681,191.4184,529.3264,20.5625,0.1019,0.0,10,0.59,-0.41,10.0851,121.6646,54.526,1.2894,1.064,4,4,False
2026-02-04,182,normal,760.8303,650.4593,110.3709,16.97,78.0759,197.568,503.9958,18.8094,0.1851,0.25,7,0.7173,-0.2827,10.4091,129.3563,50.9091,1.1419,1.2018,3,5,False
2026-02-04,183,normal,672.1811,650.4593,21.7217,3.34,77.9405,205.181,410.056,20.9964,0.0,0.0,14,0.7061,-0.2939,10.8102,97.9711,48.4775,1.249,0.8226,4,0,False
2026-02-04,184,normal,510.5791,650.4593,-139.8802,-21.5,77.5142,174.2255,275.4733,16.634,0.3759,0.0,0,1.338,0.338,9.1793,98.1775,57.7996,0.8563,1.0053,7,3,False
2026-02-04,185,normal,612.7237,650.4593,-37.7356,-5.8,76.1514,194.7076,361.4005,19.5358,0.0,0.0,1,0.7131,-0.2869,10.2584,98.5472,60.039,1.0951,1.0606,3,2,False
